mode,cycles,mean_error,max_error,pair_rms,triad_rms,viable,mid,ultra,singular,deep,very_deep,ultra_deep,access,spread,rollbacks,waste,reopen_events,phase_switches,runtime,seed,trial
topology_only,650,0.005696484459558138,0.007763300731457278,0.002557151754175803,0.0022830744346314766,8,8,8,8,8,4,0,0.6437334594940256,0.08485241451865161,0,0.0,413,133,0.2580452999973204,20360624,16
topology_only,650,0.0054699976848202846,0.0066418398957758295,0.002027435097890902,0.002770335896439845,8,8,8,8,8,3,0,0.6429042509234922,0.08727454956287202,0,0.0,381,189,0.25034169999707956,20360625,17
topology_only,650,0.005693587798035731,0.007446784950093489,0.0020477312384587993,0.002605199991506308,8,8,8,8,8,3,0,0.6423159460255012,0.08617766020105251,0,0.0,296,186,0.2495794999995269,20360626,18
topology_only,650,0.0060392806155286916,0.007956429211780693,0.0010741485240389629,0.0010453752714203292,8,8,8,8,8,0,0,0.6459006952053366,0.08761554712765239,0,0.0,314,177,0.26466119999531657,20360627,19
topology_only,650,0.005014178043732687,0.006221479067859087,0.0035068930416798003,0.0022024463527595467,8,8,8,8,8,5,0,0.6448668857944999,0.08613477266579793,0,0.0,188,159,0.2674200000037672,20360628,20
topology_only,650,0.00499024344051173,0.005947375035966194,0.0023324832247807246,0.0020209616466027435,8,8,8,8,8,4,0,0.6456977418876323,0.08533267465790902,0,0.0,149,147,0.25371169998834375,20360629,21
topology_only,650,0.006383110777658079,0.010887619572746138,0.00195470316950121,0.004159288895246193,8,8,8,8,7,2,0,0.6472099145833017,0.08514458610365562,0,0.0,359,159,0.26203180001175497,20360630,22
topology_only,650,0.0055754678921434925,0.007481058208966872,0.0018924748890393746,0.0028824672123258692,8,8,8,8,8,3,0,0.6447982224099976,0.08602471547571107,0,0.0,322,168,0.25209379999432713,20360631,23
topology_only,650,0.00571817483248351,0.007273694607757841,0.002559102765556676,0.002163716323916603,8,8,8,8,8,2,0,0.6451817750546516,0.08576343794812975,0,0.0,416,168,0.25624210000387393,20360632,24
topology_only,650,0.005518215086959968,0.0059718677323950505,0.0017351641065257515,0.0026358987322369007,8,8,8,8,8,2,0,0.6447665369351758,0.08714508954474519,0,0.0,353,117,0.2515865000023041,20360633,25
topology_only,650,0.0057185398368544416,0.006474772655302528,0.0027499367398212187,0.0036331841810375324,8,8,8,8,8,1,0,0.6442397633284498,0.08591756543678768,0,0.0,374,157,0.2771846999967238,20360634,26
